Protein_Gene	RNA_Gene		
IGF2BP2	NEDD1		
IGF2BP2	NEDD8		
IGF2BP2	NEK6		
IGF2BP2	NEK7		
IGF2BP2	NELFB		
IGF2BP2	NEO1		
IGF2BP2	NEURL4		
IGF2BP2	NF1		
IGF2BP2	NF2		
IGF2BP2	NFE2L1		
IGF2BP2	NFIA		
IGF2BP2	NFIB		
IGF2BP2	NFIC		
IGF2BP2	NFRKB		
IGF2BP2	NFYC		
IGF2BP2	NGDN		
IGF2BP2	NHLRC2		
IGF2BP2	NHSL1		
IGF2BP2	NID1		
IGF2BP2	NIF3L1		
IGF2BP2	NIN		
IGF2BP2	NIP7		
IGF2BP2	NIPA2		
IGF2BP2	NIPBL		
IGF2BP2	NKIRAS2		
IGF2BP2	NKRF		
IGF2BP2	NKTR		
IGF2BP2	NLE1		
IGF2BP2	NLGN1		
IGF2BP2	NLK		
IGF2BP2	NME2		
IGF2BP2	NME4		
IGF2BP2	NMT1		
IGF2BP2	NNT		
IGF2BP2	NOB1		
IGF2BP2	NOL8		
IGF2BP2	NOLC1		
IGF2BP2	NOM1		
IGF2BP2	NONO		
IGF2BP2	NOP10		
IGF2BP2	NOP14		
IGF2BP2	NOP16		
IGF2BP2	NOP56		
IGF2BP2	NOP58		
IGF2BP2	NOP9		
IGF2BP2	NOTCH2NL		
IGF2BP2	NPLOC4		
IGF2BP2	NPM1		
IGF2BP2	NPTN		
IGF2BP2	NPTX1		
IGF2BP2	NR2C1		
IGF2BP2	NR2C2		
IGF2BP2	NR2F1		
IGF2BP2	NR2F2		
IGF2BP2	NR3C2		
IGF2BP2	NR6A1		
IGF2BP2	NRD1		
IGF2BP2	NREP		
IGF2BP2	NRP1		
IGF2BP2	NRSN2		
IGF2BP2	NSF		
IGF2BP2	NSFL1C		
IGF2BP2	NSL1		
IGF2BP2	NSMF		
IGF2BP2	NT5C3B		
IGF2BP2	NT5DC1		
IGF2BP2	NT5DC2		
IGF2BP2	NUBP1		
IGF2BP2	NUCB1		
IGF2BP2	NUDC		
IGF2BP2	NUDT5		
IGF2BP2	NUF2		
IGF2BP2	NUFIP2		
IGF2BP2	NUMBL		
IGF2BP2	NUP153		
IGF2BP2	NUP188		
IGF2BP2	NUP205		
IGF2BP2	NUP210		
IGF2BP2	NUP214		
IGF2BP2	NUP50		
IGF2BP2	NUP54		
IGF2BP2	NUP58		
IGF2BP2	NUP62		
IGF2BP2	NUP98		
IGF2BP2	NUS1		
IGF2BP2	NUTF2		
IGF2BP2	OAZ1		
IGF2BP2	OAZ2		
IGF2BP2	OCIAD1		
IGF2BP2	OCRL		
IGF2BP2	OGFR		
IGF2BP2	OGT		
IGF2BP2	OLA1		
IGF2BP2	ONECUT2		
IGF2BP2	ORC3		
IGF2BP2	ORC5		
IGF2BP2	ORMDL1		
IGF2BP2	ORMDL2		
IGF2BP2	ORMDL3		
IGF2BP2	OS9		
IGF2BP2	OSBP		
IGF2BP2	OSBPL2		
IGF2BP2	OSBPL8		
IGF2BP2	OSBPL9		
IGF2BP2	OTUB1		
IGF2BP2	OTUD4		
IGF2BP2	OTULIN		
IGF2BP2	OXA1L		
IGF2BP2	OXSM		
IGF2BP2	P4HB		
IGF2BP2	PA2G4		
IGF2BP2	PABPC1		
IGF2BP2	PABPC4		
IGF2BP2	PABPN1		
IGF2BP2	PACS2		
IGF2BP2	PAFAH1B3		
IGF2BP2	PAIP1		
IGF2BP2	PAK1		
IGF2BP2	PAK2		
IGF2BP2	PAK4		
IGF2BP2	PALLD		
IGF2BP2	PAPD4		
IGF2BP2	PAPOLA		
IGF2BP2	PAQR3		
IGF2BP2	PARK7		
IGF2BP2	PARL		
IGF2BP2	PARP1		
IGF2BP2	PARP2		
IGF2BP2	PARP6		
IGF2BP2	PATL1		
IGF2BP2	PATZ1		
IGF2BP2	PAX6		
IGF2BP2	PAXBP1		
IGF2BP2	PBX3		
IGF2BP2	PCBP1		
IGF2BP2	PCBP2		
IGF2BP2	PCBP4		
IGF2BP2	PCCB		
IGF2BP2	PCDH7		
IGF2BP2	PCED1A		
IGF2BP2	PCF11		
IGF2BP2	PCGF2		
IGF2BP2	PCGF3		
IGF2BP2	PCLO		
IGF2BP2	PCMT1		
IGF2BP2	PCMTD1		
IGF2BP2	PCNA		
IGF2BP2	PCNP		
IGF2BP2	PCNX		
IGF2BP2	PCNXL4		
IGF2BP2	PCSK6		
IGF2BP2	PDAP1		
IGF2BP2	PDCD10		
IGF2BP2	PDCD2		
IGF2BP2	PDCD4		
IGF2BP2	PDCD5		
IGF2BP2	PDCD7		
IGF2BP2	PDE2A		
IGF2BP2	PDE6D		
IGF2BP2	PDHA1		
IGF2BP2	PDIA3		
IGF2BP2	PDIA4		
IGF2BP2	PDIA6		
IGF2BP2	PDLIM1		
IGF2BP2	PDPR		
IGF2BP2	PDS5A		
IGF2BP2	PDXDC1		
IGF2BP2	PDXP		
IGF2BP2	PDZD8		
IGF2BP2	PEA15		
IGF2BP2	PEBP1		
IGF2BP2	PEF1		
IGF2BP2	PELI1		
IGF2BP2	PELP1		
IGF2BP2	PEMT		
IGF2BP2	PERP		
IGF2BP2	PEX19		
IGF2BP2	PFAS		
IGF2BP2	PFDN1		
IGF2BP2	PFN1		
IGF2BP2	PFN2		
IGF2BP2	PGAM1		
IGF2BP2	PGAM5		
IGF2BP2	PGAP1		
IGF2BP2	PGAP2		
IGF2BP2	PGD		
IGF2BP2	PGK1		
IGF2BP2	PGM3		
IGF2BP2	PGRMC1		
IGF2BP2	PGRMC2		
IGF2BP2	PHACTR2		
IGF2BP2	PHB		
IGF2BP2	PHB2		
IGF2BP2	PHC1		
IGF2BP2	PHC2		
IGF2BP2	PHF10		
IGF2BP2	PHF12		
IGF2BP2	PHF20		
IGF2BP2	PHF21A		
IGF2BP2	PHF23		
IGF2BP2	PHF5A		
IGF2BP2	PHF8		
IGF2BP2	PHGDH		
IGF2BP2	PHIP		
IGF2BP2	PHKA1		
IGF2BP2	PI4K2A		
IGF2BP2	PI4KB		
IGF2BP2	PIAS1		
IGF2BP2	PIAS3		
IGF2BP2	PIAS4		
IGF2BP2	PICALM		
IGF2BP2	PIEZO1		
IGF2BP2	PIGK		
IGF2BP2	PIGO		
IGF2BP2	PIGS		
IGF2BP2	PIGT		
IGF2BP2	PIK3R1		
IGF2BP2	PILRB		
IGF2BP2	PIN1		
IGF2BP2	PIN4		
IGF2BP2	PIP4K2B		
IGF2BP2	PIP5K1A		
IGF2BP2	PISD		
IGF2BP2	PITHD1		
IGF2BP2	PITPNA		
IGF2BP2	PITPNB		
IGF2BP2	PITRM1		
IGF2BP2	PITX1		
IGF2BP2	PITX2		
IGF2BP2	PJA2		
IGF2BP2	PKD1		
IGF2BP2	PKM		
IGF2BP2	PKMYT1		
IGF2BP2	PKP4		
IGF2BP2	PLAA		
IGF2BP2	PLAGL2		
IGF2BP2	PLCD3		
IGF2BP2	PLD3		
IGF2BP2	PLEC		
IGF2BP2	PLEKHG2		
IGF2BP2	PLEKHJ1		
IGF2BP2	PLK1		
IGF2BP2	PLK4		
IGF2BP2	PLOD2		
IGF2BP2	PLPP1		
IGF2BP2	PLRG1		
IGF2BP2	PLS3		
IGF2BP2	PLSCR1		
IGF2BP2	PMM2		
IGF2BP2	PMP22		
IGF2BP2	PNISR		
IGF2BP2	PNKP		
IGF2BP2	PNN		
IGF2BP2	PNPLA2		
IGF2BP2	PNPLA8		
IGF2BP2	POC5		
IGF2BP2	PODXL2		
IGF2BP2	POFUT1		
IGF2BP2	POGZ		
IGF2BP2	POLA1		
IGF2BP2	POLD1		
IGF2BP2	POLD2		
IGF2BP2	POLDIP2		
IGF2BP2	POLDIP3		
IGF2BP2	POLE		
IGF2BP2	POLE3		
IGF2BP2	POLG		
IGF2BP2	POLI		
IGF2BP2	POLL		
IGF2BP2	POLR1A		
IGF2BP2	POLR1D		
IGF2BP2	POLR2A		
IGF2BP2	POLR2B		
IGF2BP2	POLR2E		
IGF2BP2	POLR2F		
IGF2BP2	POLR2G		
IGF2BP2	POLR2L		
IGF2BP2	POLR3E		
IGF2BP2	POLR3F		
IGF2BP2	POLR3G		
IGF2BP2	POLR3H		
IGF2BP2	POM121C		
IGF2BP2	POMGNT2		
IGF2BP2	POMP		
IGF2BP2	PON2		
IGF2BP2	POP4		
IGF2BP2	POT1		
IGF2BP2	POU2F1		
IGF2BP2	PPA2		
IGF2BP2	PPAN		
IGF2BP2	PPIA		
IGF2BP2	PPIF		
IGF2BP2	PPIG		
IGF2BP2	PPIL1		
IGF2BP2	PPIL2		
IGF2BP2	PPM1A		
IGF2BP2	PPME1		
IGF2BP2	PPP1CB		
IGF2BP2	PPP1CC		
IGF2BP2	PPP1R12A		
IGF2BP2	PPP1R12B		
IGF2BP2	PPP1R7		
IGF2BP2	PPP1R8		
IGF2BP2	PPP2R1A		
IGF2BP2	PPP2R2A		
IGF2BP2	PPP2R3C		
IGF2BP2	PPP2R5C		
IGF2BP2	PPP2R5D		
IGF2BP2	PPP3CA		
IGF2BP2	PPP4C		
IGF2BP2	PPP4R1		
IGF2BP2	PPP4R3A		
IGF2BP2	PPP4R3B		
IGF2BP2	PPP6R1		
IGF2BP2	PPP6R3		
IGF2BP2	PPRC1		
IGF2BP2	PPT1		
IGF2BP2	PPWD1		
IGF2BP2	PRC1		
IGF2BP2	PRCC		
IGF2BP2	PRDM2		
IGF2BP2	PRDM4		
IGF2BP2	PRDX1		
IGF2BP2	PRDX2		
IGF2BP2	PRDX3		
IGF2BP2	PRDX4		
IGF2BP2	PRELID1		
IGF2BP2	PREP		
IGF2BP2	PRH1		
IGF2BP2	PRICKLE1		
IGF2BP2	PRKAB1		
IGF2BP2	PRKACA		
IGF2BP2	PRKACB		
IGF2BP2	PRKAG1		
IGF2BP2	PRKAR1A		
IGF2BP2	PRKCSH		
IGF2BP2	PRKDC		
IGF2BP2	PRMT1		
IGF2BP2	PRMT5		
IGF2BP2	PRMT6		
IGF2BP2	PROSC		
IGF2BP2	PROSER1		
IGF2BP2	PROSER2		
IGF2BP2	PROSER3		
IGF2BP2	PRPF19		
IGF2BP2	PRPF39		
IGF2BP2	PRPF40A		
IGF2BP2	PRPF4B		
IGF2BP2	PRPF8		
IGF2BP2	PRPS1		
IGF2BP2	PRPS2		
IGF2BP2	PRR14		
IGF2BP2	PRR14L		
IGF2BP2	PRRC2A		
IGF2BP2	PRRC2B		
IGF2BP2	PRRC2C		
IGF2BP2	PRUNE		
IGF2BP2	PSAP		
IGF2BP2	PSAT1		
IGF2BP2	PSEN1		
IGF2BP2	PSMA1		
IGF2BP2	PSMA3		
IGF2BP2	PSMA4		
IGF2BP2	PSMA7		
IGF2BP2	PSMB1		
IGF2BP2	PSMB3		
IGF2BP2	PSMB4		
IGF2BP2	PSMB5		
IGF2BP2	PSMB7		
IGF2BP2	PSMC5		
IGF2BP2	PSMD1		
IGF2BP2	PSMD11		
IGF2BP2	PSMD12		
IGF2BP2	PSMD13		
IGF2BP2	PSMD14		
IGF2BP2	PSMD2		
IGF2BP2	PSMD3		
IGF2BP2	PSMD4		
IGF2BP2	PSMD6		
IGF2BP2	PSMD7		
IGF2BP2	PSME3		
IGF2BP2	PSMF1		
IGF2BP2	PSMG1		
IGF2BP2	PSMG2		
IGF2BP2	PSPH		
IGF2BP2	PSRC1		
IGF2BP2	PTAR1		
IGF2BP2	PTBP1		
IGF2BP2	PTCD3		
IGF2BP2	PTDSS1		
IGF2BP2	PTEN		
IGF2BP2	PTGES3		
IGF2BP2	PTGFRN		
IGF2BP2	PTK2		
IGF2BP2	PTMA		
IGF2BP2	PTMS		
IGF2BP2	PTP4A1		
IGF2BP2	PTP4A2		
IGF2BP2	PTPN13		
IGF2BP2	PTPN23		
IGF2BP2	PTPN4		
IGF2BP2	PTPRA		
IGF2BP2	PTPRF		
IGF2BP2	PTPRJ		
IGF2BP2	PTPRS		
IGF2BP2	PTRH2		
IGF2BP2	PTTG1IP		
IGF2BP2	PUF60		
IGF2BP2	PUM1		
IGF2BP2	PUM2		
IGF2BP2	PUS7		
IGF2BP2	PVR		
IGF2BP2	PVRL2		
IGF2BP2	PWWP2A		
IGF2BP2	PXDN		
IGF2BP2	PXK		
IGF2BP2	PXMP2		
IGF2BP2	PXN		
IGF2BP2	PYCR1		
IGF2BP2	PYCR2		
IGF2BP2	PYM1		
IGF2BP2	QARS		
IGF2BP2	QRICH1		
IGF2BP2	QSER1		
IGF2BP2	R3HDM2		
IGF2BP2	RAB18		
IGF2BP2	RAB1A		
IGF2BP2	RAB2A		
IGF2BP2	RAB35		
IGF2BP2	RAB3GAP1		
IGF2BP2	RAB4A		
IGF2BP2	RAB5A		
IGF2BP2	RAB6A		
IGF2BP2	RAB7A		
IGF2BP2	RABEP1		
IGF2BP2	RABGGTB		
IGF2BP2	RABIF		
IGF2BP2	RABL6		
IGF2BP2	RAC1		
IGF2BP2	RACGAP1		
IGF2BP2	RAD18		
IGF2BP2	RAD21		
IGF2BP2	RAD23B		
IGF2BP2	RAD50		
IGF2BP2	RAD51AP1		
IGF2BP2	RAD51B		
IGF2BP2	RAD52		
IGF2BP2	RAD54L		
IGF2BP2	RAD54L2		
IGF2BP2	RAI1		
IGF2BP2	RALY		
IGF2BP2	RAN		
IGF2BP2	RANBP1		
IGF2BP2	RANBP17		
IGF2BP2	RANBP2		
IGF2BP2	RANBP3		
IGF2BP2	RANBP9		
IGF2BP2	RANGAP1		
IGF2BP2	RAP1A		
IGF2BP2	RAP1GDS1		
IGF2BP2	RAP2A		
IGF2BP2	RAPGEF1		
IGF2BP2	RAPGEF2		
IGF2BP2	RAPH1		
IGF2BP2	RARA		
IGF2BP2	RARB		
IGF2BP2	RAVER1		
IGF2BP2	RB1CC1		
IGF2BP2	RBBP4		
IGF2BP2	RBBP6		
IGF2BP2	RBBP7		
IGF2BP2	RBBP8		
IGF2BP2	RBBP9		
IGF2BP2	RBCK1		
IGF2BP2	RBFOX2		
IGF2BP2	RBL1		
IGF2BP2	RBM10		
IGF2BP2	RBM12		
IGF2BP2	RBM12B		
IGF2BP2	RBM14		
IGF2BP2	RBM15		
IGF2BP2	RBM17		
IGF2BP2	RBM18		
IGF2BP2	RBM22		
IGF2BP2	RBM25		
IGF2BP2	RBM26		
IGF2BP2	RBM28		
IGF2BP2	RBM3		
IGF2BP2	RBM33		
IGF2BP2	RBM38		
IGF2BP2	RBM39		
IGF2BP2	RBM42		
IGF2BP2	RBM8A		
IGF2BP2	RBMX		
IGF2BP2	RBPJ		
IGF2BP2	RC3H1		
IGF2BP2	RCC1		
IGF2BP2	RCC2		
IGF2BP2	RCE1		
IGF2BP2	RCN1		
IGF2BP2	RDX		
IGF2BP2	RECQL		
IGF2BP2	REEP5		
IGF2BP2	RELA		
IGF2BP2	REPIN1		
IGF2BP2	RER1		
IGF2BP2	RERE		
IGF2BP2	REST		
IGF2BP2	REV1		
IGF2BP2	REV3L		
IGF2BP2	REXO1		
IGF2BP2	RFC1		
IGF2BP2	RFC5		
IGF2BP2	RFFL		
IGF2BP2	RFWD3		
IGF2BP2	RFX3		
IGF2BP2	RGMB		
IGF2BP2	RGS16		
IGF2BP2	RHBDD2		
IGF2BP2	RHEB		
IGF2BP2	RHOA		
IGF2BP2	RHOBTB3		
IGF2BP2	RHOC		
IGF2BP2	RIC1		
IGF2BP2	RIC8A		
IGF2BP2	RIC8B		
IGF2BP2	RITA1		
IGF2BP2	RMDN3		
IGF2BP2	RMI2		
IGF2BP2	RMRP		
IGF2BP2	RN7SK		
IGF2BP2	RN7SL2		
IGF2BP2	RNA5-8SP2		
IGF2BP2	RNA5-8SP6		
IGF2BP2	RNA5S9		
IGF2BP2	RNA5SP215		
IGF2BP2	RNASEH2B		
IGF2BP2	RNASEH2C		
IGF2BP2	RNF10		
IGF2BP2	RNF111		
IGF2BP2	RNF126		
IGF2BP2	RNF13		
IGF2BP2	RNF130		
IGF2BP2	RNF138		
IGF2BP2	RNF139		
IGF2BP2	RNF167		
IGF2BP2	RNF169		
IGF2BP2	RNF187		
IGF2BP2	RNF214		
IGF2BP2	RNF34		
IGF2BP2	RNF38		
IGF2BP2	RNF40		
IGF2BP2	RNF44		
IGF2BP2	RNF6		
IGF2BP2	RNFT1		
IGF2BP2	RNH1		
IGF2BP2	RNMT		
IGF2BP2	RNPS1		
IGF2BP2	RNU11		
IGF2BP2	RNU12		
IGF2BP2	RNU2-2P		
IGF2BP2	RNU2-61P		
IGF2BP2	RNU2-6P		
IGF2BP2	RNU4-1		
IGF2BP2	RNU4-2		
IGF2BP2	RNU5A-1		
IGF2BP2	RNU5E-1		
IGF2BP2	RNY1		
IGF2BP2	ROBO1		
IGF2BP2	ROBO2		
IGF2BP2	ROR2		
IGF2BP2	RORA		
IGF2BP2	RP11-175O19.4		
IGF2BP2	RP11-552M11.4		
IGF2BP2	RP11-613M10.6		
IGF2BP2	RP4-758J18.2		
IGF2BP2	RP6-24A23.3		
IGF2BP2	RP6-24A23.8		
IGF2BP2	RPA1		
IGF2BP2	RPA2		
IGF2BP2	RPA3		
IGF2BP2	RPL10		
IGF2BP2	RPL10A		
IGF2BP2	RPL11		
IGF2BP2	RPL13		
IGF2BP2	RPL13A		
IGF2BP2	RPL14		
IGF2BP2	RPL15		
IGF2BP2	RPL17		
IGF2BP2	RPL18		
IGF2BP2	RPL19		
IGF2BP2	RPL22		
IGF2BP2	RPL23		
IGF2BP2	RPL23A		
IGF2BP2	RPL24		
IGF2BP2	RPL26		
IGF2BP2	RPL27		
IGF2BP2	RPL27A		
IGF2BP2	RPL28		
IGF2BP2	RPL29		
IGF2BP2	RPL3		
IGF2BP2	RPL31		
IGF2BP2	RPL32		
IGF2BP2	RPL35A		
IGF2BP2	RPL37		
IGF2BP2	RPL37A		
IGF2BP2	RPL38		
IGF2BP2	RPL39		
IGF2BP2	RPL4		
IGF2BP2	RPL5		
IGF2BP2	RPL6		
IGF2BP2	RPL7A		
IGF2BP2	RPL8		
IGF2BP2	RPL9		
IGF2BP2	RPLP0		
IGF2BP2	RPLP1		
IGF2BP2	RPLP2		
IGF2BP2	RPN1		
IGF2BP2	RPN2		
IGF2BP2	RPPH1		
IGF2BP2	RPRD1A		
IGF2BP2	RPRD1B		
IGF2BP2	RPS11		
IGF2BP2	RPS12		
IGF2BP2	RPS14		
IGF2BP2	RPS15		
IGF2BP2	RPS15A		
IGF2BP2	RPS16		
IGF2BP2	RPS2		
IGF2BP2	RPS20		
IGF2BP2	RPS21		
IGF2BP2	RPS23		
IGF2BP2	RPS24		
IGF2BP2	RPS25		
IGF2BP2	RPS27A		
IGF2BP2	RPS28		
IGF2BP2	RPS29		
IGF2BP2	RPS3		
IGF2BP2	RPS3A		
IGF2BP2	RPS4X		
IGF2BP2	RPS5		
IGF2BP2	RPS6		
IGF2BP2	RPS6KA2		
IGF2BP2	RPS8		
IGF2BP2	RPS9		
IGF2BP2	RPSA		
IGF2BP2	RPTOR		
IGF2BP2	RPUSD1		
IGF2BP2	RPUSD3		
IGF2BP2	RRAGA		
IGF2BP2	RRAS2		
IGF2BP2	RRBP1		
IGF2BP2	RREB1		
IGF2BP2	RRM1		
IGF2BP2	RRM2		
IGF2BP2	RRP1B		
IGF2BP2	RRP7A		
IGF2BP2	RRP8		
IGF2BP2	RSAD1		
IGF2BP2	RSBN1		
IGF2BP2	RSL1D1		
IGF2BP2	RSPRY1		
IGF2BP2	RSRC2		
IGF2BP2	RTCB		
IGF2BP2	RTF1		
IGF2BP2	RTFDC1		
IGF2BP2	RTN3		
IGF2BP2	RUFY3		
IGF2BP2	RUNDC1		
IGF2BP2	RUSC1		
IGF2BP2	RUVBL1		
IGF2BP2	SACM1L		
IGF2BP2	SAE1		
IGF2BP2	SAFB		
IGF2BP2	SALL1		
IGF2BP2	SALL2		
IGF2BP2	SAMD11		
IGF2BP2	SAMD4B		
IGF2BP2	SAP130		
IGF2BP2	SAP18		
IGF2BP2	SAP30L		
IGF2BP2	SAR1A		
IGF2BP2	SARAF		
IGF2BP2	SARS		
IGF2BP2	SART3		
IGF2BP2	SATB1		
IGF2BP2	SAV1		
IGF2BP2	SBF1		
IGF2BP2	SCAF1		
IGF2BP2	SCAF11		
IGF2BP2	SCAF4		
IGF2BP2	SCAMP2		
IGF2BP2	SCAMP3		
IGF2BP2	SCAMP4		
IGF2BP2	SCAP		
IGF2BP2	SCARB1		
IGF2BP2	SCARNA2		
IGF2BP2	SCD		
IGF2BP2	SCMH1		
IGF2BP2	SCML1		
IGF2BP2	SCP2		
IGF2BP2	SCRN1		
IGF2BP2	SCYL1		
IGF2BP2	SCYL2		
IGF2BP2	SDC2		
IGF2BP2	SDCBP		
IGF2BP2	SDCCAG3		
IGF2BP2	SDF2		
IGF2BP2	SDHB		
IGF2BP2	SDR39U1		
IGF2BP2	SEC11C		
IGF2BP2	SEC13		
IGF2BP2	SEC16A		
IGF2BP2	SEC23B		
IGF2BP2	SEC23IP		
IGF2BP2	SEC24C		
IGF2BP2	SEC61A1		
IGF2BP2	SEC61B		
IGF2BP2	SEC62		
IGF2BP2	SEC63		
IGF2BP2	SEL1L		
IGF2BP2	SELK		
IGF2BP2	SELT		
IGF2BP2	SEMA6A		
IGF2BP2	SEMA6D		
IGF2BP2	SENP1		
IGF2BP2	SENP3		
IGF2BP2	SEPHS1		
IGF2BP2	SEPHS2		
IGF2BP2	SEPN1		
IGF2BP2	SEPT10		
IGF2BP2	SEPT11		
IGF2BP2	SEPT2		
IGF2BP2	SEPT3		
IGF2BP2	SEPT6		
IGF2BP2	SEPT8		
IGF2BP2	SERBP1		
IGF2BP2	SESN1		
IGF2BP2	SESN2		
IGF2BP2	SESN3		
IGF2BP2	SESTD1		
IGF2BP2	SET		
IGF2BP2	SETD1A		
IGF2BP2	SETD2		
IGF2BP2	SETD3		
IGF2BP2	SETD5		
IGF2BP2	SETD6		
IGF2BP2	SETX		
IGF2BP2	SF1		
IGF2BP2	SF3A1		
IGF2BP2	SF3A3		
IGF2BP2	SF3B1		
IGF2BP2	SF3B2		
IGF2BP2	SF3B6		
IGF2BP2	SFPQ		
IGF2BP2	SFSWAP		
IGF2BP2	SFT2D2		
IGF2BP2	SFXN1		
IGF2BP2	SH2B3		
IGF2BP2	SH3BP4		
IGF2BP2	SHCBP1		
IGF2BP2	SHISA5		
IGF2BP2	SHMT2		
IGF2BP2	SIAH2		
IGF2BP2	SIGMAR1		
IGF2BP2	SIKE1		
IGF2BP2	SIMC1		
IGF2BP2	SIN3A		
IGF2BP2	SIRT1		
IGF2BP2	SKI		
IGF2BP2	SLAIN1		
IGF2BP2	SLAIN2		
IGF2BP2	SLC16A1		
IGF2BP2	SLC19A1		
IGF2BP2	SLC1A3		
IGF2BP2	SLC1A5		
IGF2BP2	SLC20A1		
IGF2BP2	SLC20A2		
IGF2BP2	SLC22A23		
IGF2BP2	SLC23A2		
IGF2BP2	SLC25A1		
IGF2BP2	SLC25A13		
IGF2BP2	SLC25A17		
IGF2BP2	SLC25A24		
IGF2BP2	SLC25A25		
IGF2BP2	SLC25A28		
IGF2BP2	SLC25A36		
IGF2BP2	SLC25A38		
IGF2BP2	SLC25A39		
IGF2BP2	SLC25A40		
IGF2BP2	SLC25A44		
IGF2BP2	SLC25A46		
IGF2BP2	SLC25A5		
IGF2BP2	SLC29A1		
IGF2BP2	SLC2A1		
IGF2BP2	SLC30A9		
IGF2BP2	SLC35A2		
IGF2BP2	SLC35A4		
IGF2BP2	SLC35A5		
IGF2BP2	SLC35B1		
IGF2BP2	SLC35B2		
IGF2BP2	SLC35B4		
IGF2BP2	SLC35C2		
IGF2BP2	SLC36A1		
IGF2BP2	SLC36A4		
IGF2BP2	SLC38A2		
IGF2BP2	SLC39A1		
IGF2BP2	SLC39A10		
IGF2BP2	SLC39A14		
IGF2BP2	SLC39A6		
IGF2BP2	SLC39A8		
IGF2BP2	SLC39A9		
IGF2BP2	SLC3A2		
IGF2BP2	SLC41A2		
IGF2BP2	SLC41A3		
IGF2BP2	SLC43A1		
IGF2BP2	SLC4A2		
IGF2BP2	SLC5A6		
IGF2BP2	SLC6A15		
IGF2BP2	SLC6A6		
IGF2BP2	SLC6A8		
IGF2BP2	SLC6A9		
IGF2BP2	SLC7A1		
IGF2BP2	SLC7A5		
IGF2BP2	SLC7A6OS		
IGF2BP2	SLC9B2		
IGF2BP2	SLCO5A1		
IGF2BP2	SLIT2		
IGF2BP2	SLMAP		
IGF2BP2	SLU7		
IGF2BP2	SMAD3		
IGF2BP2	SMAD4		
IGF2BP2	SMAD5		
IGF2BP2	SMAP2		
IGF2BP2	SMARCAD1		
IGF2BP2	SMARCC1		
IGF2BP2	SMARCD1		
IGF2BP2	SMARCD2		
IGF2BP2	SMARCE1		
IGF2BP2	SMC1A		
IGF2BP2	SMC3		
IGF2BP2	SMC4		
IGF2BP2	SMG5		
IGF2BP2	SMG7		
IGF2BP2	SMG8		
IGF2BP2	SMG9		
IGF2BP2	SMO		
IGF2BP2	SMPD4		
IGF2BP2	SMS		
IGF2BP2	SNAP23		
IGF2BP2	SNAP47		
IGF2BP2	SNAPIN		
IGF2BP2	SND1		
IGF2BP2	SNHG1		
IGF2BP2	SNHG16		
IGF2BP2	SNHG17		
IGF2BP2	SNHG5		
IGF2BP2	SNHG7		
IGF2BP2	SNORD118		
IGF2BP2	SNORD3A		
IGF2BP2	SNRNP200		
IGF2BP2	SNRNP25		
IGF2BP2	SNRNP27		
IGF2BP2	SNRNP40		
IGF2BP2	SNRPA		
IGF2BP2	SNRPA1		
IGF2BP2	SNRPB		
IGF2BP2	SNRPC		
IGF2BP2	SNRPD1		
IGF2BP2	SNRPD2		
IGF2BP2	SNRPD3		
IGF2BP2	SNTB1		
IGF2BP2	SNU13		
IGF2BP2	SNW1		
IGF2BP2	SNX12		
IGF2BP2	SNX19		
IGF2BP2	SNX2		
IGF2BP2	SNX5		
IGF2BP2	SNX6		
IGF2BP2	SNX8		
IGF2BP2	SOBP		
IGF2BP2	SON		
IGF2BP2	SORBS3		
IGF2BP2	SORT1		
IGF2BP2	SOS1		
IGF2BP2	SOS2		
IGF2BP2	SOX12		
IGF2BP2	SP1		
IGF2BP2	SP3		
IGF2BP2	SPAG5		
IGF2BP2	SPATA6		
IGF2BP2	SPCS1		
IGF2BP2	SPDL1		
IGF2BP2	SPECC1L		
IGF2BP2	SPEN		
IGF2BP2	SPG20		
IGF2BP2	SPICE1		
IGF2BP2	SPINT2		
IGF2BP2	SPIRE1		
IGF2BP2	SPNS1		
IGF2BP2	SPON1		
IGF2BP2	SPRTN		
IGF2BP2	SPRY1		
IGF2BP2	SPTBN1		
IGF2BP2	SQLE		
IGF2BP2	SQSTM1		
IGF2BP2	SRA1		
IGF2BP2	SRCAP		
IGF2BP2	SREBF1		
IGF2BP2	SREBF2		
IGF2BP2	SREK1		
IGF2BP2	SRI		
IGF2BP2	SRM		
IGF2BP2	SRP14		
IGF2BP2	SRP68		
IGF2BP2	SRP72		
IGF2BP2	SRP9		
IGF2BP2	SRPK1		
IGF2BP2	SRPK2		
IGF2BP2	SRPR		
IGF2BP2	SRPRB		
IGF2BP2	SRR		
IGF2BP2	SRRM2		
IGF2BP2	SRRT		
IGF2BP2	SRSF1		
IGF2BP2	SRSF10		
IGF2BP2	SRSF11		
IGF2BP2	SRSF2		
IGF2BP2	SRSF3		
IGF2BP2	SRSF4		
IGF2BP2	SRSF7		
IGF2BP2	SRSF9		
IGF2BP2	SS18		
IGF2BP2	SSBP1		
IGF2BP2	SSBP4		
IGF2BP2	SSFA2		
IGF2BP2	SSR2		
IGF2BP2	SSR4		
IGF2BP2	SSRP1		
IGF2BP2	ST13		
IGF2BP2	STAG1		
IGF2BP2	STAM		
IGF2BP2	STAMBP		
IGF2BP2	STARD3		
