Protein_Gene	RNA_Gene		
IGF2BP1	C17orf80		
IGF2BP1	C18orf21		
IGF2BP1	C19orf43		
IGF2BP1	C19orf53		
IGF2BP1	C1GALT1C1		
IGF2BP1	C1orf109		
IGF2BP1	C1orf122		
IGF2BP1	C1orf21		
IGF2BP1	C1orf27		
IGF2BP1	C1orf35		
IGF2BP1	C1orf43		
IGF2BP1	C1orf52		
IGF2BP1	C1QBP		
IGF2BP1	C1QL1		
IGF2BP1	C20orf24		
IGF2BP1	C21orf33		
IGF2BP1	C21orf91		
IGF2BP1	C2CD5		
IGF2BP1	C2orf44		
IGF2BP1	C2orf47		
IGF2BP1	C3orf17		
IGF2BP1	C3orf38		
IGF2BP1	C5orf15		
IGF2BP1	C5orf22		
IGF2BP1	C5orf42		
IGF2BP1	C5orf45		
IGF2BP1	C5orf51		
IGF2BP1	C6orf106		
IGF2BP1	C6orf48		
IGF2BP1	C6orf62		
IGF2BP1	C6orf89		
IGF2BP1	C7orf49		
IGF2BP1	C8orf33		
IGF2BP1	C8orf59		
IGF2BP1	C9orf114		
IGF2BP1	C9orf142		
IGF2BP1	C9orf3		
IGF2BP1	C9orf69		
IGF2BP1	CAB39		
IGF2BP1	CACHD1		
IGF2BP1	CACNA2D3		
IGF2BP1	CACUL1		
IGF2BP1	CACYBP		
IGF2BP1	CADM1		
IGF2BP1	CALCOCO1		
IGF2BP1	CALM1		
IGF2BP1	CALM2		
IGF2BP1	CALM3		
IGF2BP1	CALR		
IGF2BP1	CALU		
IGF2BP1	CAMK2D		
IGF2BP1	CAMK2N1		
IGF2BP1	CAMKK2		
IGF2BP1	CAMSAP1		
IGF2BP1	CAMSAP2		
IGF2BP1	CAMTA1		
IGF2BP1	CAND1		
IGF2BP1	CAND2		
IGF2BP1	CANX		
IGF2BP1	CAP1		
IGF2BP1	CAP2		
IGF2BP1	CAPN15		
IGF2BP1	CAPNS1		
IGF2BP1	CAPRIN1		
IGF2BP1	CAPZA1		
IGF2BP1	CAPZB		
IGF2BP1	CARD8		
IGF2BP1	CARM1		
IGF2BP1	CARS		
IGF2BP1	CASC3		
IGF2BP1	CASC5		
IGF2BP1	CASK		
IGF2BP1	CASP2		
IGF2BP1	CASP8AP2		
IGF2BP1	CAST		
IGF2BP1	CBFB		
IGF2BP1	CBL		
IGF2BP1	CBLL1		
IGF2BP1	CBS		
IGF2BP1	CBSL		
IGF2BP1	CBX1		
IGF2BP1	CBX2		
IGF2BP1	CBX3		
IGF2BP1	CBX4		
IGF2BP1	CBX6		
IGF2BP1	CBY1		
IGF2BP1	CCAR1		
IGF2BP1	CCAR2		
IGF2BP1	CCBL2		
IGF2BP1	CCDC106		
IGF2BP1	CCDC109B		
IGF2BP1	CCDC117		
IGF2BP1	CCDC138		
IGF2BP1	CCDC14		
IGF2BP1	CCDC142		
IGF2BP1	CCDC174		
IGF2BP1	CCDC28A		
IGF2BP1	CCDC43		
IGF2BP1	CCDC59		
IGF2BP1	CCDC66		
IGF2BP1	CCDC86		
IGF2BP1	CCDC88A		
IGF2BP1	CCDC91		
IGF2BP1	CCDC92		
IGF2BP1	CCNB1		
IGF2BP1	CCND2		
IGF2BP1	CCNE2		
IGF2BP1	CCNG1		
IGF2BP1	CCNI		
IGF2BP1	CCNJ		
IGF2BP1	CCNK		
IGF2BP1	CCNT1		
IGF2BP1	CCNT2		
IGF2BP1	CCNY		
IGF2BP1	CCP110		
IGF2BP1	CCT3		
IGF2BP1	CCT4		
IGF2BP1	CCT5		
IGF2BP1	CCT6A		
IGF2BP1	CCT7		
IGF2BP1	CCT8		
IGF2BP1	CD151		
IGF2BP1	CD164		
IGF2BP1	CD2AP		
IGF2BP1	CD2BP2		
IGF2BP1	CD46		
IGF2BP1	CD59		
